wayid,nodes
35950899,"420248312,1038395031,3068686937,3068686938,2990955339,3068684731,420248310,3068695647,420248308,3068684729,2093859464,3068684730,3068684732,420248892,420248298,3068686933,3070253453,420248323,2623083084,1038395056,3068686934,6041152018,3068686935,6041152019,6041152017,420248313,3068686936,420248311,420248312"
81206769,"946186276,4683527939,946186577,2190872204,6308440252,4683527935,6308440253,946186452,4683527954,5446959735,946186582,2190872193,4683527914,946186276"
89366099,"3510641730,4023138726,1333311093,1036552331,420249329,3510641724,1333303428,1036552539,3512524156,3510641728,6521441098,1036552159,3510641723,3510641726,6521431887,3510641722,3510641719,3510641720,1036552763,6521441099,1036552680,6521441100,3510641729,1036552199,1036552460,3510641721,3510641730"
118555827,"1333246034,6542739076,1333246097,6542739075,1333246159,6542739074,3578683340,6542739073,2991182609,6542731232,1333246133,1333246026,6542739072,1333246167,6542760589,1333246063,6542760590,1333246148,6542760588,1333246029,6542760587,1333246184,6542760586,6308461410,6542760585,2992135735,6542739084,1333246078,6542739083,1333246048,6542739082,1333246165,6542739081,1333246115,6542739080,6308461409,6542739079,1333246085,6542739078,1333246153,6542739077,1333246034"
118565239,"1333318760,2623101053,1333318825,2623101051,1333318838,2623101049,1333318806,3512583535,1333318798,2623101050,3512583536,3512583537,1333318851,2623101052,1333318764,2623101054,1333318789,2623101056,3512583538,3512583539,1333318810,1333318760"
118567494,"1333341476,2991819241,2988146945,2991819247,2988146983,1333341432,3514086532,6308461406,3514086535,2991819254,2991819257,2991819259,1333341533,2991819258,2991819256,1333341472,6308461405,2991819253,1333341504,2991819246,1333341571,2991819242,2991819240,2991819239,6511836344,1333341498,1333341476"
118570175,"1333361897,6577679962,2623083093,1333361995,2623083095,1333361968,4660418864,2623083097,3818466594,4660418865,2991183950,1333361953,2623083096,1333361913,2623083094,1333361920,2623083092,4660418866,1333361947,3501224717,4660418867,4660418868,2623083091,1333361905,2623083090,1333361897"
118609228,"1333698790,3753027180,3074863954,3753027179,1333699014,3074863956,3753027178,3753027167,1333698972,3074863958,3753027176,1333698933,3074863957,6333710180,1333698917,3074863955,3753027173,3074863953,3753027177,1333699085,3074863951,1333698715,3074863952,1333698790"
118618074,"1759885824,3510593720,3510593722,1333762943,3510593727,3510593721,1333762853,1333762693,3510593726,3510593724,3510593723,1333762403,3510593716,1333763052,1333762994,3510593725,1333762602,3765451598,3510593718,1333762651,3510593719,1333763256,1759885824"
118618085,"3753094697,3753094689,6507021809,1333762842,1333762527,3753094690,6507021805,1333762591,6308447060,3753094696,1333763127,1333762758,1333762890,3753094695,3753094693,1333762989,1333762640,3753094694,3753094692,1333762747,1333762504,3753094691,1333763043,6509127697,3753094697"
149699498,"1333699103,6333710179,3753009152,3753009145,1333698948,1333699122,3753009151,1333698870,6333710181,1333698744,6509588943,1333699170,6509588944,1333698834,3753009138,6352710562,3753009162,6509588936,3753006430,1333698987,1333698854,3753009154,1333698665,3753009155,1333699154,3753009170,6509588941,6352710563,1333698821,1333698687,3753006431,3753009153,6509588942,1333699103"
160628085,"1726781967,1726781961,2991010975,6040711614,1726781958,420248639,1726781949,2991010963,1726781945,1726781941,1726781936,1726781932,1726781929,6040711612,2991183899,6040711613,1726781931,6040711610,1726781934,6040711611,1726781939,1726781943,1726781947,1726781951,1726781964,3514391358,2991183905,1726781969,1726781967"
214120446,"6038358198,6038357791,6038358189,6038357792,6038357793,6038358190,6038357794,6038358191,6038357785,6038358192,6038357786,6038358193,6038357787,6038358194,6038357788,6038358195,6038357789,6038358196,6038357795,6038358197,6038357790,6038358198"
295128795,"2988146948,2990909288,2988729561,2990909285,2988146954,2990909280,2988729557,2990909277,2988146959,2990909275,2988729565,2990909274,2988146950,2990909276,2990909278,2988729562,2990909279,2988146952,2990909283,2990909284,2988146943,2990909287,2988729566,2990909290,2988146948"
295386169,"2990909956,2990909953,2990909950,2990909948,2990909947,2990909945,2990909941,2990909939,3753035933,3753035932,3502628938,2990909332,2990909331,2990909933,2990909935,2990909938,2990909940,2990909942,2990909946,2990909949,3502647233,2990909951,3502640048,2990909954,2990909955,2990909956"
295386172,"2990909327,6509568853,6509562141,2990909310,2990909308,2990909305,2990909303,6509562140,6509568852,4005671992,6509568851,6509562144,2990909309,2990909311,2990909315,2990909317,6509562143,6509568854,6509562142,2990909327"
295390020,"2990955417,2990955418,2990955420,2990955419,2990955415,2990955413,2990955412,2990955410,2990955408,3068691913,2990955406,2990955403,2990955401,2990955399,6308447059,3068691897,2990955397,2990955400,1333698747,2990955404,2990955407,2990955409,2990955411,2990955414,2990955417"
295394160,"6539256089,2991011692,2991011693,6038220774,2991011690,2991011688,2991011686,2991011683,2991011679,2991011678,2991011676,2991011674,2991011670,2991011669,6539256088,2991011671,3754596963,2991011673,2991011677,2991011680,2991011682,2991011684,2991011687,6539256089"
295408471,"2991183782,2991183776,2991183773,3540413242,2991183771,2991183767,3070269478,2991183763,2991183759,2991183757,2991183758,2991183760,6308461407,2991183764,2991183769,2991183772,2991183774,6308461408,2991183779,3540413241,2991183784,2991183782"
