wayid,nodes
35950845,"420249416,1333361917"
35950853,"1334305797,6512193108,420248380,3077384387,420248385,3077384389,3077384390,6530582109"
35950861,"420248970,6509898606,6525445962,6511464166,420248648"
35950897,"420248911,6525586824,2990909243,420248909,3070108200,6530556549,420248914,3540404858,6525309544,1334172029,6525586826,1333303407,3070108198,3068684724,3070108197,2093859483,3070108196,6047709311,3070108195,6525096654,1333394792,6525094807,6525094808,1334170003,6525094813,3070253482,3068684725,3070108192,3070108190,6525075795,1333303488,6525075799,6334805176,3068684728,6334805179,6040965312,6532141634"
35950923,"6038229619,6518557438,420249563,6518557435,6509742433,6525355441,420249565,6509742435,6045401773,6518557430,3077384361,6518557428,6045414794,6045414800,6511789900,1601639391,6045401763,6511425652,420248590,6511573296,6518601697,6040964110,6518603090,420249562,6518603088,6518996502,420249558"
35950925,"3514086535,3514086534,6511836343,3514086533,420248838,6542997934,420248610,6542997932,6555742918,6543015221,420248841,6038336424,3540399992,6038336428,6542845053,420248640,6542845054,6038336422,3540400193,6038336420,6542845052,420248831,6542845051,6542719490,6542724723,420248849"
35950940,"1759733733,3507197236,420265991"
35950949,"420248863,1333315280,6525365661,6525422583,6513788364,420248975"
35952559,"420266475,5444138400,5444138401,5444138402,420266819,420266816,420266821,5670166432,2178059287,5398846258,5398846259,420266818,5398845470,420266815,5398845469,5398845468,420266828,420266834,2178059283,5688198864,420266753,5688420095,420266836,2617007606,420266835,2461400831,5720615438,946186586,5821894873,5821894872,5821894871"
39354009,"1333318798,2623038163,3512595957,6518971648,6518971647,420249306,3512712612,6511514250,1333303481"
48673527,"420248468,420248461"
52649665,"6150810631,668585837,6513506776,2237804247,2237328218,6513481448,4281263349,668585847,6513463325,4281263294,6150810411,2237809719,668585844,6513448215,2237814560,668585818,668585816,668585821,2237814559"
52649680,"6570627769,6570620871,2237312087,6164092386,420513223,6570620874,2237312081,6570577161,6570577158,2237312064,6164092393,6570458138,6152033221,6152033229,2237312060,6570451385,6570451389,4071043936,6150027009,6150027004,6150027000,2237312839,420513364,3756956155,3756956154,3756956153,668605122,5589326746,668605120,3756934386,668605118,6150025013,6570294785,6150233224,6150233243,6150233308,6150233379,6150233248,6150233288,6150233289,2237328249,668585843,2237328224,668585842"
52649682,"668585842,668585841"
52664477,"5577321970,5590681823,668685240,2238004703,668685236,3006869712,3002854908,668685237,668685238,579498848"
68744712,"668585771,5577321978,826188541,5577321977,826189566"
81206753,"946186328,946186469,946186537,3002854909,946186499,2238004704,946186372,5590681822,5577321971"
81206773,"946186523,2237914883,4293660293,946186584,4293660306,2237914900,946186342"
81232835,"2173690001,2173660642,2576245965,2173660683,2173660937,2173660920,2173660825,2183070444,2173660807,2183070371,2173660602,2173660787,2173660814,2576245966,2173660761,2173690009,2173660616,2173689892,2173689976,2173660946,1736755374,2576245967,946404024,946403946,2183695809,946186493,5446893762,2173690030,2173690013,946186309,946186412,2617007624,2173690007,946186521"
89366098,"1036552615,3765436737,3510593380,1410502845"
