guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/cwc-to-interact-with-state-leaders-in-search-for-new-congress-chief/story-Owm0WqHZtIEaNGqXeyUttN.html',"b'Cong may name new chief today; Sonia, Rahul opt out of CWC consultations'","b'Sat, 10 Aug 2019 08:59:42 GMT '",b'Five panels formed by the Congress Working Committee (CWC) are expected top give their suggestions to the party\xe2\x80\x99s top decision making body to  decide on a new chief.',b'https://www.hindustantimes.com/india-news/cwc-to-interact-with-state-leaders-in-search-for-new-congress-chief/story-Owm0WqHZtIEaNGqXeyUttN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/_e4923950-bb3a-11e9-b550-1b3b7c3fb345.png
b'https://www.hindustantimes.com/india-news/national-conference-moves-supreme-court-against-centre-s-decision-to-nullify-article-370-that-gives-jammu-and-kashmir-special-status/story-TXSdIcDp0GKMMO0DZcQyQJ.html',"b""National Conference moves SC against Centre's decision to nullify Article 370""","b'Sat, 10 Aug 2019 08:35:29 GMT '",b'The National Conference has moved the Supreme Court against Centre\xe2\x80\x99s decision to nullify Article 370 that gave Jammu and Kashmir special status. ',b'https://www.hindustantimes.com/india-news/national-conference-moves-supreme-court-against-centre-s-decision-to-nullify-article-370-that-gives-jammu-and-kashmir-special-status/story-TXSdIcDp0GKMMO0DZcQyQJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/september-condemned-september-addressing-residence-conference-international_c1c49b36-bb42-11e9-b550-1b3b7c3fb345.jpg
b'https://www.hindustantimes.com/cricket/india-vs-west-indies-meet-rakheem-cornwall-cricket-s-new-mountain-man-and-upcoming-windies-star/story-RgVqxhsxKMRCmarAFsM3JK.html',"b""India vs West Indies: Meet Rahkeem Cornwall - Cricket's new 'mountain man' and upcoming...""","b'Sat, 10 Aug 2019 07:43:32 GMT '",b'He is an all-rounder from the islands of Antigua and is perhaps the heaviest cricketer ever. He stands at a towering height of 6\xe2\x80\x996\xe2\x80\x9d and weighs around 140 kg.',b'https://www.hindustantimes.com/cricket/india-vs-west-indies-meet-rakheem-cornwall-cricket-s-new-mountain-man-and-upcoming-windies-star/story-RgVqxhsxKMRCmarAFsM3JK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/_a0760602-bb3a-11e9-b550-1b3b7c3fb345.jpg
b'https://www.hindustantimes.com/india-news/denied-jaguar-haryana-youth-pushes-bmw-into-river/story-agDaT0fB57acbXf8zMUJAO.html',"b'Denied Jaguar, Haryana youth pushes BMW into river'","b'Sat, 10 Aug 2019 07:32:22 GMT '",b'The car later got stuck in the middle of the river. ',b'https://www.hindustantimes.com/india-news/denied-jaguar-haryana-youth-pushes-bmw-into-river/story-agDaT0fB57acbXf8zMUJAO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/_bd800666-bb40-11e9-b550-1b3b7c3fb345.png
b'https://www.hindustantimes.com/india-news/russia-backs-india-on-kashmir-issue/story-4ZQWFxW56lev3kmHPHGQ8J.html',"b""'Within framework of the Constitution': Russia backs India on Kashmir move""","b'Sat, 10 Aug 2019 07:14:14 GMT '",b'Moscow expects that India and Pakistan will not allow aggravation of the situation in the region due to the change by Delhi in the status of the state of Jammu and Kashmir.',b'https://www.hindustantimes.com/india-news/russia-backs-india-on-kashmir-issue/story-4ZQWFxW56lev3kmHPHGQ8J.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/_1a9c25d0-bb2f-11e9-ab59-a9539248f706.png
b'https://www.hindustantimes.com/india-news/1964-when-parties-wanted-article-370-abrogated/story-4JsC6NomhAZPiPwfPrx9UM.html',b'1964: When parties wanted Article 370 abrogated',"b'Sat, 10 Aug 2019 05:08:04 GMT '","b'On September 12, 1964, Hindustan Times reported that a Bill in the Lok Sabha urged that Article 370 be done away with in the interest of complete integration of the state with the rest of the country.'",b'https://www.hindustantimes.com/india-news/1964-when-parties-wanted-article-370-abrogated/story-4JsC6NomhAZPiPwfPrx9UM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/09/Pictures/security-personnel-stand-guard_85b2c2dc-bad2-11e9-ab59-a9539248f706.jpg
b'https://www.hindustantimes.com/indians-abroad/indian-origin-doctor-couple-teen-daughter-killed-in-us-plane-crash/story-n3DEch7Vzg3pPvEphg8RIN.html',"b'Indian-origin doctor couple, teen daughter killed in US&thinsp;plane crash'","b'Sat, 10 Aug 2019 03:30:27 GMT '","b'The victims have been identified as 60-year-old Dr Jasvir Khurana, his wife, 54-year-old Dr Divya Khurana, and their daughter, Kiran Khurana. The family has one surviving daughter who was not on the plane, US media outlets reported.'",b'https://www.hindustantimes.com/indians-abroad/indian-origin-doctor-couple-teen-daughter-killed-in-us-plane-crash/story-n3DEch7Vzg3pPvEphg8RIN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/_0d5bd64c-bb1e-11e9-b550-1b3b7c3fb345.png
b'https://www.hindustantimes.com/cricket/meet-the-man-who-selected-both-sachin-tendulkar-and-his-son-arjun-to-represent-mumbai-30-years-apart/story-QVSxqkgcewNdjmALaH5JAO.html',b'Meet the man who selected both Sachin Tendulkar and his son Arjun to represent Mumbai...',"b'Sat, 10 Aug 2019 03:07:36 GMT '","b'More than 30 years later, Rege, who is currently the chief selector of the Mumbai Cricket Association, has taken the decision to select Sachin\xe2\x80\x99s son Arjun Tendulkar in Mumbai\xe2\x80\x99s squad for the Vizzy Trophy.'",b'https://www.hindustantimes.com/cricket/meet-the-man-who-selected-both-sachin-tendulkar-and-his-son-arjun-to-represent-mumbai-30-years-apart/story-QVSxqkgcewNdjmALaH5JAO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/09/Pictures/team-india-s-practice-session_4d79f250-ba96-11e9-ab59-a9539248f706.jpg
b'https://www.hindustantimes.com/cities/woman-sold-to-gb-road-brothel-rescued-after-client-decides-to-help-her/story-NOrn2OH0ndAPiq8ODir9OI.html',"b""Client helps cops rescue woman from Delhi's GB&thinsp;Road brothel""","b'Sat, 10 Aug 2019 02:10:06 GMT '",b'The police have registered a case of rape and trafficking at Kamla Market police station and arrested the alleged manager of the brothel.',b'https://www.hindustantimes.com/cities/woman-sold-to-gb-road-brothel-rescued-after-client-decides-to-help-her/story-NOrn2OH0ndAPiq8ODir9OI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/10/Pictures/sex-worker_778d6784-bb13-11e9-b550-1b3b7c3fb345.jpg
b'https://www.hindustantimes.com/columns/article-370-fallout-marginalisation-of-the-kashmiri-mainstream/story-th5kgFuFHGRrIJP1QdhiQI.html',b'Opinion | Article 370 fallout: Marginalisation of the Kashmiri mainstream',"b'Sat, 10 Aug 2019 01:50:00 GMT '","b'Having weakened pro-India politicians, haven\xe2\x80\x99t you only ended up strengthening the extremists?'",b'https://www.hindustantimes.com/columns/article-370-fallout-marginalisation-of-the-kashmiri-mainstream/story-th5kgFuFHGRrIJP1QdhiQI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/09/Pictures/restrictions-in-jammu_85113bca-bab8-11e9-b550-1b3b7c3fb345.jpg
