node,relation_nodes
4300003641,"110578444,4300003644,4300003533,4300003626,110578598,4300003615,4300003614,4300003537,3782881036,4300003596,4300003469,4300003582,4294582325,110578597"
110578444,"4300003641,3782898729,4294576837,3070496157,4300003533,4300003626,110578598,4300003747,4300003615,4300003614,4300003537,3782898723,4300003872,4300003859,3782881036,3782898705,4300003596,4300003469,4300003605,4300003582,4294582325,5590834602,110578597"
6521315257,"1759885399,1334101461,345351408,1333730465,1334101496,1334352277,1759885475,345351431,1036552727,4792330101,4779885789,4792330102,4797076555,4797759987,4797760739,4797760746,6150950402,6157808486,6157808489,6157808493,1334101590,6157962753,6157962739,6157962758,6157962760,6157962911,6157962900,6514049343,6514049345,6514066701,6514066707,6521099194,6521099203,6521315261,6521315263,6521358791,6521705572,6521757722,6521745159,6538608328"
1759885399,"6521315257,6514081837,345351408,1333730465,1334101496,1334352277,1759885475,345351431,1036552727,4792330101,4779885789,4792330102,4797076555,4797759987,4797760739,4797760746,6150950402,6157808486,6157808489,6157808493,1334101590,6157962753,6157962739,6157962758,6157962760,6157962911,6157962900,6158027317,6514049343,6514049345,6514066701,6514066707,6521099194,6521099203,6521315261,6521315263,6521358791,6521705572,6521757722,6521745159,6538608328"
345362354,"345362457,6521268444,6521268458,345362388,2092582370,345362378,1758586671,6158063063,6158063066,1758586663,6158064930,6158064967,6158064957,6521268456,6521268448,6525633571,6525639785"
345362457,"345362354,1759885243,420266033,345362388,2092582370,345362378,5847765442,1758586671,1758586663,6158064930,6525633571,6525639785,6568110464"
1841070595,"345366140,2271214774,1884243746,345366125,5023296104,5023298028,5023298060,5023298349,5023298340,5023298355,5023298362,5023298388,5023298386,5023298387,5023298391,6157729190,6157729199"
345366140,"1841070595,420265846,2174824833,420265868,2170728708,2170728725,2174824811,2170730394,2170730408,2170730401,1841070590,2174824825,2180045014,2190631042,2190631044,2271214774,1884243746,345366125,5023296104,5023298028,5023298060,5023298349,5023298340,5023298355,5023298362,5023298388,5023298386,5023298387,5023298391,6157729190,6157729199,6157729205"
345550902,"1334132753,5965472313,471244495,1726781660,1819473060,2183725849,1726781680"
1334132753,"345550902,1334132750,1736755216,1819473071,1334132751,6149085416"
377671538,"377671545,2201227375,4281258646,2170972690,1819473133,1819473129,2170972633,2210615765,2210615729,2210755395,2212541852,2212541864,2212541871,377671543,1819473137,3006869697,420266538,4281258492,3768473969,4281258637,1037737374,1037737325,1037737172,4290305974,4290305991,4290306516,1037737183,420266171,5666130977,3768473968,6149050650,420266197,4290306526"
377671545,"377671538,420266478,1617714516,5588953596,1819473139,420265842,946186371,946186327,946186574,946186521,4290306585,1819473170,2170972578,2190862632,2900202269,2617007630,2893899623,2893899635,2894676679,2894716025,2895811623,377671543,1617714469,3133657329,3780850678,4281259490,4281259854,4281260706,1617714305,4281259856,4281259484,6306739410,4281258492,6306739436,420266105,4281257282,4281259903,3768473969,4281259550,4281257273,2209950092,4293660914,420266051,5158937502,5158937655,5158937804,5158937826,5158937849,5158937919,1617714472,5158937975,5158937976,5158938142,5158938162,5158938187,5664365428,420265848,5664342423,5699512107,6148990411,6148990428,6148990417,6148990442,6148990448,5699512106,3768473968,6149050893,6149835543,6149835556,6149835564,420266059,6151749432,4293660801,4293660715,6306739425,6306739426,6306739445"
6511820377,"2289103467,5580787930,377686914,2289123210,377686915"
2289103467,"6511820377,6329927819,377686914,2289123210,377686915"
420248874,"420248876,420249030,420248644,1333394833,3760272168,6542582288,6542618904,1333379875,5922537294,6528693427"
420248876,"420248874,6608784871,420248362,1333379875,4828245165,6045261298,5922537294,6509742448,6528693427"
6060078876,"1333303483,6336888813,420249421,1333318824,1333318779,3757426809,3757426816,3757426823,420249539,3075296930,6045233554,6040868251,420249504,6521337361,6521341371,6521341373,6521321780,6521363257,6525007353,3761464376,3761464384"
1333303483,"6060078876,420248842,6509742430,420249144,3761464376,3761464364,3761464384"
420249495,"420248971,420249234,420249513,6040964112,6041129179"
420248971,"420249495,420248835,420248975,1333698950,1334202697,3761464385,3761464387,6038353335,6518525105"
420249416,"1333361917,6524986723,420249533,6336888813"
1333361917,"420248815,5896811070,420248577,1333363207,1333368235,420248807,3080182101,3080182062,420248797,420248803,3757050361,3757050363,3757050366,3757050371,3757050382,3760143385,3760163443,3760163770,3761464378,3761464382,3780605570,1333303420,3760163442,6045389531,6045389534,6045447635,6060082210,6518482582,6521320881,6521331076,6521337972,6521448004"
3513926570,"420249005,6038504620,420249198,1333344728,3761464390,3765458409,3765458421"
